2.3018,11.406
-2.6183,12.711
-0.53269,-0.097868
5.6464,9.0464
8.0021,7.6429
1.1663,1.3763
1.5256,13.523
1.4147,1.3484
1.5037,0.10734
-3.5741,13.327
1.4364,11.496
1.078,2.3244
1.0645,1.6003
-0.38262,1.2445
-0.28839,0.62878
5.4282,8.75
6.4055,8.6362
1.5824,-0.0065001
9.1218,5.1386
1.5301,11.048
6.383,9.412
0.77305,-0.14891
1.4902,12.765
0.96247,-0.8963
-2.3865,14.73
0.56979,-0.62732
-2.8346,12.171
-3.3646,13.905
9.1867,8.7934
5.7029,5.768
-0.156,12.04
2.0341,1.2916
8.5202,8.1534
-3.779,13.944
0.36387,1.3179
-1.5295,14.144
0.83911,1.4093
9.3103,8.6712
1.1807,13.267
6.1732,8.4945
2.0378,0.15406
0.74883,11.795
0.23975,11.306
0.2223,1.5667
9.6636,8.2504
6.498,11.789
6.8531,9.4043
0.8375,1.6901
0.6798,12.818
1.7871,0.99777
-1.7635,12.93
-3.6728,15.008
-4.0206,14.672
10.007,7.7641
4.913,7.5736
5.6747,10.944
1.3268,0.48512
0.80833,11.134
7.1978,8.4073
0.10489,0.59067
-2.7097,14.192
-3.4835,14.052
9.4021,8.4189
-1.6224,15.014
6.1716,8.9379
5.5302,9.8864
-0.17136,-0.38526
3.0243,-1.3595
0.1429,11.83
1.6474,0.57437
-0.59418,1.1102
5.2071,7.4495
6.9297,7.3942
-2.07,13.826
5.4007,8.4104
10.01,8.2041
10.778,8.9243
0.5494,12.109
10.837,8.4745
1.3105,0.75051
3.0108,12.026
3.5088,2.0635
-0.14243,11.375
7.46,11.05
9.9439,7.1588
9.4255,8.4998
-1.3065,12.929
1.138,0.28926
1.5404,11.908
-1.1811,12.79
-0.23682,12.215
0.047364,1.3173
-1.1942,13.271
2.6742,12.125
2.0212,0.12602
-3.1521,14.157
-4.5768,13.824
7.4065,9.4011
6.1205,8.0101
4.6148,7.0432
-0.36096,1.7796
0.49003,-0.32163
5.7969,8.5
2.9085,1.1222
6.4207,9.4007
8.2213,7.0774
6.8366,7.8717
10.588,9.3779
4.9855,8.7867
-0.86876,12.641
1.6417,1.4255
-0.72543,1.2882
5.0637,7.7309
0.58534,13.912
2.047,0.77308
-0.31472,0.58359
1.4394,0.91038
7.199,9.8017
-2.3459,14.555
-0.48268,0.95618
10.226,7.7872
-0.39327,11.614
1.5551,0.44322
-0.36151,1.3476
-3.3502,14.279
9.956,8.4582
1.9608,2.7382
1.3493,0.27075
10.984,8.1012
10.286,7.3138
1.8084,1.213
5.8271,7.7913
1.7783,10.52
6.7276,8.2269
-1.128,-0.17692
11.851,6.1023
-2.4772,12.822
10.302,8.2195
1.0931,0.62184
1.9239,1.2669
5.2221,9.316
9.683,8.3189
2.2247,0.95642
2.7985,11.883
8.5435,9.3218
10.536,7.658
5.2994,7.3695
11.252,7.1074
-0.41577,1.0596
6.5411,7.4591
10.487,6.4334
1.777,1.6224
4.4307,8.5226
4.5755,9.7174
10.151,7.0087
9.6373,7.2612
1.3083,11.062
9.5159,8.2384
11.057,7.4124
5.4314,9.81
1.854,12.389
0.0094678,-0.17303
0.6091,12.409
-2.1653,14.412
2.0486,1.6607
9.8452,9.1886
6.6615,11.139
10.667,8.8281
9.6181,6.6288
0.58875,0.63199
4.662,9.0303
9.5586,6.9451
1.1203,10.963
0.81816,0.060465
1.1021,13.196
9.5851,7.3414
1.5558,-0.12026
2.1569,1.053
9.8444,8.1291
0.24221,0.43603
0.78683,0.86552
-1.9029,14.245
10.885,8.0845
7.0533,8.2511
10.653,9.9645
4.8067,9.647
-2.4174,14.717
2.2815,11.19
9.589,8.6636
-1.2015,11.225
-1.1168,15.304
-0.16872,12.393
9.1047,8.3133
6.0951,9.4967
1.8797,3.0389
-2.6258,13.403
-2.4424,13.479
-1.5077,14.576
7.0822,9.9704
0.10355,-0.20327
