0.30143,0.023824,-0.022055
-0.55662,-0.6155,1.6046
-1.4617,1.1177,-0.047468
2.0718,0.63702,0.074894
0.45817,3.7359,-0.29199
-0.10145,2.5709,-0.76441
-0.63698,-0.1888,4.1483
3.0882,0.049435,1.078
0.19146,3.7702,-0.57922
0.27526,0.35329,2.7996
0.76665,1.5235,0.57682
-0.97772,0.60589,-0.11365
-0.94013,-0.25929,2.7865
0.23553,1.0214,3.8602
-0.76199,-0.2503,-1.6488
0.96577,-0.21976,1.4145
1.2679,5.0905,-0.94645
-0.83768,2.6925,0.79414
2.3603,5.1754,0.39774
0.90726,0.40226,3.4616
4.8916,0.28819,2.2652
-0.1734,-0.014029,-0.61274
1.9524,0.45902,3.6007
1.9779,4.7953,1.0374
-1.2974,-0.12177,4.7408
4.0065,-0.23589,0.65282
0.46818,0.32261,0.10002
-1.0335,5.2951,2.7681
1.6245,0.37351,3.7491
-0.19726,4.6492,-0.83147
-1.6951,0.91939,4.0215
0.032941,1.6925,4.4757
3.9521,-1.5519,0.44408
0.36853,2.192,5.5357
3.8536,-0.10307,-2.799
-0.25973,-1.3548,-1.1574
-0.63206,5.3165,1.5516
-0.50495,0.32585,-1.1114
4.3933,0.99025,-1.2976
1.0877,1.7507,1.8045
0.76456,0.6699,0.37578
0.41014,3.2101,0.16164
-0.3868,-0.55399,3.0563
4.3082,0.29964,-0.19722
2.0021,-0.3571,-0.3364
-1.0618,4.4505,-0.2728
5.9645,0.88458,0.084537
4.807,-0.089803,-0.0062921
2.0183,4.4543,-0.042104
0.29261,-1.1876,5.0759
-0.5107,4.1134,-0.22981
4.9271,-1.227,-0.32724
3.4255,0.49975,-0.4841
1.1233,-0.033128,-0.097748
4.1291,0.50943,-0.030124
2.1023,-1.7787,-0.92264
1.9033,-1.16,3.6527
0.7685,0.086933,1.7044
0.89595,2.1865,1.5667
-2.6411,-0.48615,0.19597
-0.39754,4.2543,1.2078
-1.8172,3.4783,0.16144
3.7872,-0.044035,0.45818
0.16613,0.77616,2.6186
-0.84072,-0.34947,4.0296
5.2449,-1.2923,-0.61435
4.9404,0.34916,1.8593
2.3206,0.78898,-0.65428
-0.49535,4.4688,-0.6573
0.95972,1.3803,-0.94146
-0.92419,-0.59414,1.4213
-1.717,5.4705,0.69414
-1.4689,4.1769,3.4663
-0.69804,0.30412,1.1011
1.3411,1.3327,-1.2849
0.48048,3.6132,0.42162
-0.18199,0.61569,-0.37667
-0.28438,-0.79171,4.2406
0.23759,-0.67155,-1.045
-0.4385,4.3432,-0.058403
-0.92546,0.09866,5.6843
-0.29934,-1.721,4.1834
-0.46247,3.4234,-0.84597
1.1283,2.4654,2.4421
0.024739,-0.028091,0.14036
-0.081664,-0.15847,4.0065
2.6288,0.010307,0.20413
3.9081,-0.92124,-0.92695
3.1867,0.7934,-0.38195
-1.0646,-1.6439,5.5815
-0.44661,-0.46671,-1.4358
-0.11522,1.822,1.9785
0.2417,4.5493,0.46763
-0.059848,-0.57468,5.4419
3.5586,-1.0549,-0.15558
1.0871,0.64717,4.6326
-0.0087579,0.92946,-0.090432
1.6184,0.66164,0.22735
1.9512,3.0953,-0.68215
-0.094646,0.79323,4.9594
2.478,0.62101,-1.5075
4.5881,1.3779,1.8512
4.2384,0.77825,0.92427
-0.22538,-0.28028,5.3067
3.5426,0.59634,-0.11353
0.42597,-0.042931,-1.2423
-0.21463,4.4863,0.33089
0.76087,0.23792,-0.20837
-0.25673,2.3101,0.19006
0.8465,4.1102,-1.1611
2.535,4.4386,0.43752
-0.081551,1.2582,5.4685
4.2504,0.28616,-0.68617
-2.0666,-0.072599,4.7591
3.589,0.66356,0.22578
-1.7839,0.52907,4.7297
4.3133,0.66703,0.82812
1.4076,-1.029,0.20651
3.0388,1.7848,-0.20019
-0.22558,-0.96599,0.095018
